,user_id,trial_number,phrase_text,adverb,direction
0,0,0,down,,down
1,0,1,forward,,forward
2,0,2,up,,up
3,0,3,backward,,backward
4,0,4,left,,left
5,0,5,right,,right
6,0,6,below sharply,sharply,down
7,0,7,sharply left and downward,sharply,down-left
8,0,8,leftward and behind,,backward-left
9,0,9,up and to the right immediately,immediately,right-up
10,0,10,to the left and above significantly,significantly,left-up
11,0,11,sharply behind and right,sharply,backward-right
12,0,12,slowly leftward,slowly,left
13,0,13,right and backward,,backward-right
14,0,14,immediately to the right,immediately,right
15,0,15,immediately ahead and up,immediately,forward-up
16,0,16,ahead smoothly,smoothly,forward
17,0,17,to the right and forward,,forward-right
18,0,18,leftward and to the front,,forward-left
19,0,19,backward and leftward,,backward-left
20,0,20,to the front and down harshly,harshly,down-forward
21,0,21,harshly to the front and right,harshly,forward-right
22,0,22,softly below and right,softly,down-right
23,0,23,forward lightly,lightly,forward
24,0,24,to the front and to the left sharply,sharply,forward-left
25,0,25,sharply downward,sharply,down
26,0,26,lightly backward,lightly,backward
27,0,27,downward and right,,down-right
28,0,28,to the left and backward,,backward-left
29,0,29,ahead softly,softly,forward
30,0,30,down and left immediately,immediately,down-left
31,0,31,forward and below,,down-forward
32,0,32,lightly backward,lightly,backward
33,0,33,left sharply,sharply,left
34,0,34,above and ahead,,forward-up
35,0,35,left and to the back,,backward-left
36,0,36,ahead slowly,slowly,forward
37,0,37,downward and left,,down-left
38,0,38,immediately forward and up,immediately,forward-up
39,0,39,left and forward greatly,greatly,forward-left
40,0,40,slowly above,slowly,up
41,0,41,downward and behind,,backward-down
42,1,0,left,,left
43,1,1,forward,,forward
44,1,2,up,,up
45,1,3,right,,right
46,1,4,down,,down
47,1,5,backward,,backward
48,1,6,to the front and downward,,down-forward
49,1,7,to the back quickly,quickly,backward
50,1,8,smoothly right,smoothly,right
51,1,9,quickly rightward and downward,quickly,down-right
52,1,10,to the front and left slightly,slightly,forward-left
53,1,11,below significantly,significantly,down
54,1,12,ahead softly,softly,forward
55,1,13,quickly above,quickly,up
56,1,14,above and rightward greatly,greatly,right-up
57,1,15,rightward and up,,right-up
58,1,16,forward softly,softly,forward
59,1,17,greatly forward,greatly,forward
60,1,18,below and to the front,,down-forward
61,1,19,to the back and up,,backward-up
62,1,20,lightly up and to the left,lightly,left-up
63,1,21,slowly below,slowly,down
64,1,22,above slightly,slightly,up
65,1,23,smoothly behind,smoothly,backward
66,1,24,slightly behind,slightly,backward
67,1,25,slowly down and forward,slowly,down-forward
68,1,26,quickly to the right and to the front,quickly,forward-right
69,1,27,immediately to the left and backward,immediately,backward-left
70,1,28,to the right and upward significantly,significantly,right-up
71,1,29,rightward and ahead,,forward-right
72,1,30,below and to the left,,down-left
73,1,31,upward and to the back,,backward-up
74,1,32,significantly downward and to the right,significantly,down-right
75,1,33,to the front and to the left quickly,quickly,forward-left
76,1,34,below and forward,,down-forward
77,1,35,downward and behind,,backward-down
78,1,36,rightward and below,,down-right
79,1,37,upward and to the right,,right-up
80,1,38,backward and below,,backward-down
81,1,39,to the back and left quickly,quickly,backward-left
82,1,40,forward and leftward sharply,sharply,forward-left
83,1,41,above smoothly,smoothly,up
84,2,0,down,,down
85,2,1,forward,,forward
86,2,2,right,,right
87,2,3,up,,up
88,2,4,backward,,backward
89,2,5,left,,left
90,2,6,slowly ahead and upward,slowly,forward-up
91,2,7,softly upward,softly,up
92,2,8,below and leftward,,down-left
93,2,9,significantly down,significantly,down
94,2,10,to the back immediately,immediately,backward
95,2,11,ahead sharply,sharply,forward
96,2,12,leftward and backward immediately,immediately,backward-left
97,2,13,greatly backward and downward,greatly,backward-down
98,2,14,quickly to the left,quickly,left
99,2,15,to the front and upward,,forward-up
100,2,16,to the back and upward,,backward-up
101,2,17,backward and down slowly,slowly,backward-down
102,2,18,left and backward,,backward-left
103,2,19,to the right and down,,down-right
104,2,20,left and downward,,down-left
105,2,21,slowly downward and to the back,slowly,backward-down
106,2,22,softly backward,softly,backward
107,2,23,below and to the right,,down-right
108,2,24,downward and ahead,,down-forward
109,2,25,smoothly left and behind,smoothly,backward-left
110,2,26,upward and leftward slowly,slowly,left-up
111,2,27,softly behind,softly,backward
112,2,28,backward and right quickly,quickly,backward-right
113,2,29,upward slowly,slowly,up
114,2,30,downward gradually,gradually,down
115,2,31,to the back and to the left,,backward-left
116,2,32,to the back and rightward slowly,slowly,backward-right
117,2,33,to the front and downward,,down-forward
118,2,34,lightly down and forward,lightly,down-forward
119,2,35,slightly to the back,slightly,backward
120,2,36,softly above and backward,softly,backward-up
121,2,37,left and down,,down-left
122,2,38,to the left significantly,significantly,left
123,2,39,behind and above immediately,immediately,backward-up
124,2,40,behind and above,,backward-up
125,2,41,above gradually,gradually,up
126,3,0,down,,down
127,3,1,up,,up
128,3,2,forward,,forward
129,3,3,backward,,backward
130,3,4,left,,left
131,3,5,right,,right
132,3,6,harshly backward and leftward,harshly,backward-left
133,3,7,leftward and below,,down-left
134,3,8,down and left harshly,harshly,down-left
135,3,9,right and upward softly,softly,right-up
136,3,10,significantly to the back,significantly,backward
137,3,11,slightly to the front,slightly,forward
138,3,12,quickly down and backward,quickly,backward-down
139,3,13,forward sharply,sharply,forward
140,3,14,down and to the right,,down-right
141,3,15,slowly to the back,slowly,backward
142,3,16,above and right quickly,quickly,right-up
143,3,17,downward and to the left,,down-left
144,3,18,gradually behind and left,gradually,backward-left
145,3,19,to the left lightly,lightly,left
146,3,20,behind and left,,backward-left
147,3,21,leftward and below lightly,lightly,down-left
148,3,22,leftward smoothly,smoothly,left
149,3,23,rightward and to the back,,backward-right
150,3,24,up and to the back immediately,immediately,backward-up
151,3,25,upward and to the right,,right-up
152,3,26,gradually rightward and below,gradually,down-right
153,3,27,slowly down and rightward,slowly,down-right
154,3,28,slowly up,slowly,up
155,3,29,down quickly,quickly,down
156,3,30,behind and downward,,backward-down
157,3,31,below and behind,,backward-down
158,3,32,leftward and below,,down-left
159,3,33,slowly to the front,slowly,forward
160,3,34,slightly above,slightly,up
161,3,35,above slightly,slightly,up
162,3,36,ahead and below,,down-forward
163,3,37,down and forward slowly,slowly,down-forward
164,3,38,to the front softly,softly,forward
165,3,39,right and above,,right-up
166,3,40,softly up and to the back,softly,backward-up
167,3,41,downward and backward,,backward-down
168,4,0,down,,down
169,4,1,forward,,forward
170,4,2,left,,left
171,4,3,backward,,backward
172,4,4,right,,right
173,4,5,up,,up
174,4,6,greatly ahead and leftward,greatly,forward-left
175,4,7,right harshly,harshly,right
176,4,8,forward and rightward,,forward-right
177,4,9,slightly right,slightly,right
178,4,10,rightward and down,,down-right
179,4,11,backward significantly,significantly,backward
180,4,12,quickly up,quickly,up
181,4,13,up greatly,greatly,up
182,4,14,below and backward immediately,immediately,backward-down
183,4,15,quickly up and to the right,quickly,right-up
184,4,16,quickly behind and to the right,quickly,backward-right
185,4,17,to the back and below,,backward-down
186,4,18,gradually up,gradually,up
187,4,19,lightly left,lightly,left
188,4,20,behind and up greatly,greatly,backward-up
189,4,21,downward and to the front,,down-forward
190,4,22,significantly ahead,significantly,forward
